item_id,date,p10,p50,p90
user_01,2022-03-01T00:00:00Z,101.73820535945582,102.97315896135039,103.63284612634335
user_01,2022-04-01T00:00:00Z,99.84104278904792,102.96001648809194,103.89877260783169
user_01,2022-05-01T00:00:00Z,101.54262630470436,103.06520387669418,104.02729169950155
user_01,2022-06-01T00:00:00Z,101.91395563792683,103.12654050860426,104.15976492964404
user_01,2022-07-01T00:00:00Z,101.2893781683349,102.81917372785884,104.04237214060865
user_01,2022-08-01T00:00:00Z,101.3906603792227,102.56347901469464,104.01713252973862
user_01,2022-09-01T00:00:00Z,100.99318345757527,102.38180021009774,103.92852846574341
user_01,2022-10-01T00:00:00Z,101.6976703913416,103.38686544817402,104.9771868566557
user_01,2022-11-01T00:00:00Z,102.0965512656952,103.61785537265715,105.11217681551888
user_01,2022-12-01T00:00:00Z,101.70090344186451,103.71840327517327,105.24848938587812
